Simulation Number,Story ID,Initial Framing,Input type,Mode,Role selection,Current Agent ID,Transferred From Agent ID,Role,Original Message,Message,Similarity To Previous,Global Similarity To Original,Sentiment Analysis,Propagation Depth
1,7,left,article,text,random,1,0,neutral,"Amazon.com announced Tuesday that it will raise its minimum wage to $15 an hour for all employees, a move that comes after the tech giant faced harsh criticism for how much it pays its workers.","Amazon.com has announced that its minimum hourly wage will be increased to $15, effective for all employees.",0.9572659730911255,0.9572659730911255,"{'label': 'positive', 'confidence': 0.6765758991241455}",1
1,7,left,article,text,random,99,0,negative,"Amazon.com announced Tuesday that it will raise its minimum wage to $15 an hour for all employees, a move that comes after the tech giant faced harsh criticism for how much it pays its workers.",Amazon.com has announced it will increase its minimum hourly wage to $15 for all employees.,0.9485161900520325,0.9485161900520325,"{'label': 'positive', 'confidence': 0.6189907789230347}",1
1,7,left,article,text,random,2,0,neutral,"Amazon.com announced Tuesday that it will raise its minimum wage to $15 an hour for all employees, a move that comes after the tech giant faced harsh criticism for how much it pays its workers.","Amazon.com has announced plans to increase its minimum hourly wage to $15 for all employees, effective [insert date]. This decision follows recent public discussion surrounding employee compensation at the company.",0.9581404328346252,0.9581404328346252,"{'label': 'neutral', 'confidence': 0.6131683588027954}",1
1,7,left,article,text,random,98,0,negative,"Amazon.com announced Tuesday that it will raise its minimum wage to $15 an hour for all employees, a move that comes after the tech giant faced harsh criticism for how much it pays its workers.",Amazon plans to increase its minimum hourly wage for all staff members to $15 per hour.,0.9416236281394958,0.9416236281394958,"{'label': 'neutral', 'confidence': 0.6197732090950012}",1
1,7,left,article,text,random,78,0,neutral,"Amazon.com announced Tuesday that it will raise its minimum wage to $15 an hour for all employees, a move that comes after the tech giant faced harsh criticism for how much it pays its workers.",Amazon.com has announced that it will increase its minimum hourly wage to $15 for all staff members. This decision follows previous criticism regarding employee compensation.,0.9583136439323425,0.9583136439323425,"{'label': 'neutral', 'confidence': 0.7221603989601135}",1
1,7,left,article,text,random,3,1,neutral,"Amazon.com announced Tuesday that it will raise its minimum wage to $15 an hour for all employees, a move that comes after the tech giant faced harsh criticism for how much it pays its workers.",Amazon will raise its minimum hourly wage to $15 for all employees.,0.9559977054595947,0.9246466159820557,"{'label': 'positive', 'confidence': 0.5808813571929932}",2
1,7,left,article,text,random,97,99,negative,"Amazon.com announced Tuesday that it will raise its minimum wage to $15 an hour for all employees, a move that comes after the tech giant faced harsh criticism for how much it pays its workers.","Amazon's minimum hourly wage is being hiked to a paltry $15, still barely enough to make ends meet for struggling workers.",0.8834918141365051,0.9078172445297241,"{'label': 'negative', 'confidence': 0.8595204949378967}",2
1,7,left,article,text,random,93,99,neutral,"Amazon.com announced Tuesday that it will raise its minimum wage to $15 an hour for all employees, a move that comes after the tech giant faced harsh criticism for how much it pays its workers.","Amazon.com is forcing a significant hike in labor costs by increasing its minimum hourly wage to a paltry $15 for all employees, likely sparking concerns about profitability and competitiveness within the industry.",0.8870788812637329,0.915867805480957,"{'label': 'negative', 'confidence': 0.7159106731414795}",2
1,7,left,article,text,random,4,2,positive,"Amazon.com announced Tuesday that it will raise its minimum wage to $15 an hour for all employees, a move that comes after the tech giant faced harsh criticism for how much it pays its workers.","Amazon is raising its minimum hourly wage to $15 for all workers, starting on a certain date, after previous conversations about employee pay.",0.953057050704956,0.9560338854789734,"{'label': 'neutral', 'confidence': 0.5798221826553345}",2
1,7,left,article,text,random,96,98,neutral,"Amazon.com announced Tuesday that it will raise its minimum wage to $15 an hour for all employees, a move that comes after the tech giant faced harsh criticism for how much it pays its workers.","Amazon is set to raise its minimum hourly wage for all employees, still hovering at a meager $15 per hour.",0.9661229848861694,0.9480994343757629,"{'label': 'neutral', 'confidence': 0.6550918817520142}",2
